Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
47.16,H,44020,111112,211220,20002168,"A: 12006530 | K: 11206",PayPal,PDF
26.19,H,44020,111112,201120,20001914,"A: 12006268 | K: 10939",PayPal,PDF
39.97,H,44020,111112,131020,20001696,"A: 12006012 | K: 10587","SOFORT Überweisung",PDF
63.79,H,44020,111112,191020,20001714,"A: 12006033 | K: 10663","Mollie PayPal",PDF
20.57,H,44020,111112,281220,20002289,"A: 12006641 | K: 11321",PayPal,PDF
100.68,H,44020,111112,071120,20001825,"A: 12006172 | K: 10847",PayPal,PDF
153.97,H,44020,111112,271020,20001758,"A: 12006089 | K: 10775",PayPal,PDF
51.12,H,44020,111112,091120,20001827,"A: 12006179 | K: 10854",PayPal,PDF
152.69,H,44020,111112,281020,20001761,"A: 12006098 | K: 10752",PayPal,PDF
121.41,H,44020,111112,031120,20001804,"A: 12006145 | K: 10827",PayPal,PDF
68.31,H,44020,111112,191120,20001906,"A: 12006260 | K: 10288",PayPal,PDF
50.49,H,44020,111112,031220,20001991,"A: 12006346 | K: 11016",PayPal,PDF
28.16,H,44020,111112,291020,20001777,"A: 12006117 | K: 10798",PayPal,PDF
72.35,H,44020,111112,021220,20001987,"A: 12006342 | K: 11012",PayPal,PDF
10.79,H,44020,111112,241220,20002239,"A: 12006600 | K: 11278",PayPal,PDF
20.19,H,44020,111112,020121,20002384,"A: 12006750 | K: 11436",PayPal,PDF
25.88,H,44020,111112,221220,20002215,"A: 12006575 | K: 11252",PayPal,PDF
16.64,H,44020,111112,181220,20002128,"A: 12006486 | K: 11161",PayPal,PDF
16.89,H,44020,111112,281220,20002254,"A: 12006606 | K: 11283",PayPal,PDF
73.35,H,44020,111112,090121,20002117,"A: 12006473 | K: 11148",PayPal,PDF
34.39,H,44020,111112,141120,20001867,"A: 12006220 | K: 10891",PayPal,PDF
28.09,H,44020,111112,161120,20001890,"A: 12006244 | K: 10915",PayPal,PDF
44.88,H,44020,111112,221220,20002198,"A: 12006559 | K: 11235",PayPal,PDF
26.98,H,44020,111112,161120,20001886,"A: 12006241 | K: 10912",PayPal,PDF
13.49,H,44020,111112,271020,20001756,"A: 12006085 | K: 10772","SOFORT Überweisung",PDF
50.89,H,44020,111112,301120,20001966,"A: 12006321 | K: 10992",PayPal,PDF
34.79,H,44020,111112,301220,20002353,"A: 12006721 | K: 11404",PayPal,PDF
27.88,H,44020,111112,281220,20002274,"A: 12006633 | K: 11313",PayPal,PDF
54.17,H,44020,111112,311220,20002372,"A: 12006741 | K: 11426",PayPal,PDF
26.85,H,44020,111112,111220,20002052,"A: 12006405 | K: 11077",PayPal,PDF
96.83,H,44020,111112,141220,20002070,"A: 12006431 | K: 11104",PayPal,PDF
41.97,H,44020,111112,281220,20002253,"A: 12006643 | K: 11323",PayPal,PDF
52.88,H,44020,111112,051220,20002003,"A: 12006357 | K: 11027",PayPal,PDF
13.99,H,44020,111112,211220,20002163,"A: 12006523 | K: 11199",PayPal,PDF
19.37,H,44020,111112,281220,20002261,"A: 12006616 | K: 11296",PayPal,PDF
68.94,H,44020,111112,131120,20001858,"A: 12006213 | K: 10884",PayPal,PDF
41.75,H,44020,111112,221220,20002205,"A: 12006566 | K: 11242",PayPal,PDF
61.44,H,44020,111112,061120,20001824,"A: 12006171 | K: 10846",PayPal,PDF
50.2,H,44020,111112,121120,20001857,"A: 12006211 | K: 10882",PayPal,PDF
61.95,H,44020,111112,021120,20001788,"A: 12006129 | K: 10811",PayPal,PDF
29.39,H,44020,111112,281020,20001769,"A: 12006106 | K: 10789",PayPal,PDF
38.08,H,44020,111112,141220,20002071,"A: 12006432 | K: 11105",PayPal,PDF
55.96,H,44020,111112,291220,20002303,"A: 12006677 | K: 11358",PayPal,PDF
39.54,H,44020,111112,020121,20002391,"A: 12006760 | K: 11446",PayPal,PDF
67.45,H,44020,111112,161020,20001705,"A: 12006021 | K: 10641","Mollie PayPal",PDF
70.47,H,44020,111112,231120,20001934,"A: 12006289 | K: 10959",Kreditkarte,PDF
14.88,H,44020,111112,221220,20002218,"A: 12006579 | K: 11256",PayPal,PDF
-14.88,H,44020,111112,221220,21000013,"A: 12006579 | K: 11256",PayPal,PDF
53.96,H,44020,111112,091120,20001835,"A: 12006176 | K: 10851",PayPal,PDF
11.09,H,44020,111112,211220,20002192,"A: 12006551 | K: 11229",PayPal,PDF
